Condition,Drug,Indication,Type,Reviews,Effective,EaseOfUse,Satisfaction
Acute Bacterial Sinusitis,Amoxicillin,On Label,RX,1 Reviews,5,1,1
Acute Bacterial Sinusitis,Ampicillin,On Label,RX,1 Reviews,3,2,1
Acute Bacterial Sinusitis,Erythromycin Stearate,On Label,RX,1 Reviews,4,4,4
Acute Bacterial Sinusitis,Ampicillin Sodium,Off Label,RX,1 Reviews,1,1,1
Acute Bacterial Sinusitis,Amoxicillin,On Label,RX,1 Reviews,5,5,5
Acute Bacterial Sinusitis,Amoxicillin,On Label,RX,1 Reviews,5,5,5
Acute Bacterial Sinusitis,Amoxicillin,On Label,RX,1 Reviews,5,5,5
Acute Bacterial Sinusitis,Amoxicillin,On Label,RX,1 Reviews,5,5,5
Acute Bacterial Sinusitis,Amoxicillin,On Label,RX,1 Reviews,4,4,5
Acute Bacterial Sinusitis,Erythromycin Ethylsuccinate,On Label,RX,1 Reviews,5,4,5
Acute Bacterial Sinusitis,Erythromycin Ethylsuccinate,On Label,RX,1 Reviews,1,1,1
Acute Bacterial Sinusitis,Erythromycin Ethylsuccinate,On Label,RX,1 Reviews,3,3,3
Acute Bacterial Sinusitis,Erythromycin Ethylsuccinate,On Label,RX,1 Reviews,5,4,5
adenocarcinoma of pancreas,Capecitabine,Off Label,RX,156 Reviews,3.75,3.78,3.62
adenocarcinoma of pancreas,Cisplatin,Off Label,RX,33 Reviews,4.27,3.45,3.45
adenocarcinoma of pancreas,Oxaliplatin,Off Label,RX,29 Reviews,4,2.8,2.8
adenocarcinoma of pancreas,Paclitaxel-Protein Bound,On Label,RX,27 Reviews,4.18,4,3.77
adenocarcinoma of pancreas,Gemcitabine,On Label,RX,26 Reviews,3.44,3.11,2.67
adenocarcinoma of pancreas,Gemcitabine,On Label,RX,17 Reviews,3.25,4,3
adenocarcinoma of pancreas,Capecitabine,Off Label,RX,10 Reviews,3.75,4.5,3.75
adenocarcinoma of pancreas,Fluorouracil,On Label,RX,5 Reviews,3,1,3
adenocarcinoma of pancreas,Mitomycin,On Label,RX,4 Reviews,2.5,2,2
adenocarcinoma of pancreas,Doxorubicin,Off Label,RX,4 Reviews,2,2,3
adenocarcinoma of pancreas,Doxorubicin,Off Label,RX,4 Reviews,2,2,3
adenocarcinoma of pancreas,Oxaliplatin,Off Label,RX,3 Reviews,5,5,3
adenocarcinoma of pancreas,Doxorubicin,Off Label,RX,2 Reviews,1,3,1
adenocarcinoma of pancreas,Cisplatin,Off Label,RX,1 Reviews,3,3,3
adenocarcinoma of pancreas,Paclitaxel-Protein Bound,On Label,RX,1 Reviews,3,2,3
Atopic Dermatitis,Prednisone,On Label,RX,2575 Reviews,3.54,3.64,2.74
Atopic Dermatitis,Prednisone,On Label,RX,2575 Reviews,3.54,3.64,2.74
Atopic Dermatitis,Prednisone,On Label,RX,2575 Reviews,3.54,3.64,2.74
Atopic Dermatitis,Methylprednisolone,On Label,RX,586 Reviews,3.3,3.92,2.82
Atopic Dermatitis,Cetirizine,Off Label,OTC,364 Reviews,3.59,4.18,2.81
Atopic Dermatitis,Triamcinolone Acetonide,On Label,RX,321 Reviews,3.03,3.17,2.68
Atopic Dermatitis,Triamcinolone Acetonide,On Label,RX,235 Reviews,4,4.44,3.85
Atopic Dermatitis,Clobetasol,On Label,RX,151 Reviews,3.94,4.34,3.82
Atopic Dermatitis,Clobetasol,On Label,RX,151 Reviews,3.94,4.34,3.82
Atopic Dermatitis,Clobetasol,On Label,RX,151 Reviews,3.94,4.34,3.82
Atopic Dermatitis,Clobetasol,On Label,RX,151 Reviews,3.94,4.34,3.82
Atopic Dermatitis,Methylprednisolone,On Label,RX,129 Reviews,3.39,3.97,3.11
Atopic Dermatitis,Methylprednisolone,On Label,RX,118 Reviews,3.35,3.31,2.92
Atopic Dermatitis,Dexamethasone,On Label,RX,113 Reviews,3.38,3.27,2.47
Atopic Dermatitis,Dexamethasone,On Label,RX,113 Reviews,3.38,3.27,2.47
Atopic Dermatitis,Methylprednisolone Acetate,On Label,RX,104 Reviews,3.52,3,3.14
Atopic Dermatitis,Cetirizine,Off Label,RX/OTC,89 Reviews,3.27,4.14,3.05
Atopic Dermatitis,Pimecrolimus,On Label,RX,79 Reviews,3.26,4.14,3.17
Atopic Dermatitis,Fluocinonide,On Label,RX,68 Reviews,4.7,4.7,4.7
Atopic Dermatitis,Dexamethasone,On Label,RX,59 Reviews,3.67,3.2,1.93
Atopic Dermatitis,Desonide,On Label,RX,57 Reviews,2.9,4.1,2.9
Atopic Dermatitis,Desonide,On Label,RX,57 Reviews,2.9,4.1,2.9
Atopic Dermatitis,Desonide,On Label,RX,57 Reviews,2.9,4.1,2.9
Atopic Dermatitis,Betamethasone Dipropionate,On Label,RX,57 Reviews,3.91,4.55,4
Atopic Dermatitis,Betamethasone Dipropionate,On Label,RX,57 Reviews,3.91,4.55,4
Atopic Dermatitis,Dexamethasone,On Label,RX,54 Reviews,3.38,3.12,2.27
Atopic Dermatitis,Tacrolimus,On Label,RX,54 Reviews,3.62,4.1,3.62
Atopic Dermatitis,Clobetasol,On Label,RX,47 Reviews,3.89,4.04,3.43
Atopic Dermatitis,Clobetasol,On Label,RX,47 Reviews,3.89,4.04,3.43
Atopic Dermatitis,Mometasone,On Label,RX,43 Reviews,4.88,4.88,4.88
Atopic Dermatitis,Hydrocortisone,On Label,RX,41 Reviews,4.36,4.23,3.59
Atopic Dermatitis,Methylprednisolone,On Label,RX,41 Reviews,3.5,3.9,3.3
Atopic Dermatitis,Desoximetasone,On Label,RX,38 Reviews,3.44,4.67,3.11
Atopic Dermatitis,Desoximetasone,On Label,RX,38 Reviews,3.44,4.67,3.11
Atopic Dermatitis,Hydrocortisone,On Label,RX/OTC,34 Reviews,4.2,4.2,4
Atopic Dermatitis,Hydrocortisone,On Label,RX,33 Reviews,4.31,4.13,3.69
Atopic Dermatitis,Clobetasol-Emollient,On Label,RX,32 Reviews,3.22,3.33,3.11
Atopic Dermatitis,Hydrocortisone Butyr-Emollient,On Label,RX,31 Reviews,4.57,4.86,4.43
Atopic Dermatitis,Halobetasol Propionate,On Label,RX,28 Reviews,4.31,4.38,4.15
Atopic Dermatitis,Halobetasol Propionate,On Label,RX,28 Reviews,4.31,4.38,4.15
Atopic Dermatitis,Mometasone,On Label,RX,28 Reviews,4.67,4.5,4.67
Atopic Dermatitis,Prednisone,On Label,RX,24 Reviews,1,2.8,1
Atopic Dermatitis,Fluocinolone,On Label,RX,24 Reviews,4.45,4.55,4.36
Atopic Dermatitis,Triamcinolone Acetonide,On Label,RX,24 Reviews,3.75,3.5,3.75
Atopic Dermatitis,Methylprednisolone,On Label,RX,23 Reviews,3.67,4.33,3.17
Atopic Dermatitis,Dexamethasone,On Label,RX,22 Reviews,2.4,2.8,1.8
Atopic Dermatitis,Vit E-Grape-Hyaluronate Sodium,On Label,RX,22 Reviews,3.69,4.54,3.77
Atopic Dermatitis,Fluocinonide,On Label,RX,21 Reviews,3.8,4.2,3.6
Atopic Dermatitis,Cortisone,On Label,RX,20 Reviews,4.6,4.2,3.2
Atopic Dermatitis,Betamethasone Valerate,On Label,RX,20 Reviews,3.8,4.6,3.8
Atopic Dermatitis,Betamethasone Valerate,On Label,RX,20 Reviews,3.8,4.6,3.8
Atopic Dermatitis,Methylprednisolone Acetate,On Label,RX,19 Reviews,3.33,3.67,3.33
Atopic Dermatitis,Prednisone,On Label,RX,18 Reviews,4.33,3.33,2.33
Atopic Dermatitis,Clobetasol,On Label,RX,18 Reviews,4.75,4.38,4.13
Atopic Dermatitis,"Betamethasone Acet,Sod Phos",On Label,RX,18 Reviews,3,3.67,3
Atopic Dermatitis,Fluocinolone And Shower Cap,On Label,RX,17 Reviews,4,3.7,3.6
Atopic Dermatitis,Desoximetasone,On Label,RX,17 Reviews,3.67,4.67,3.67
Atopic Dermatitis,Desoximetasone,On Label,RX,17 Reviews,3.67,4.67,3.67
Atopic Dermatitis,Halobetasol Propionate,On Label,RX,16 Reviews,5,4.67,5
Atopic Dermatitis,Dexamethasone Sodium Phosphate,On Label,RX,15 Reviews,3.67,3,3.67
Atopic Dermatitis,Prednisolone Sodium Phosphate,On Label,RX,14 Reviews,3.88,4.75,3.5
Atopic Dermatitis,Hydrocortisone-Iodoquinl-Aloe2,"
",RX,14 Reviews,3,3,3
Atopic Dermatitis,Fluocinonide,On Label,RX,12 Reviews,4.25,4,4
Atopic Dermatitis,"Betamethasone Acet,Sod Phos",On Label,RX,12 Reviews,5,5,5
Atopic Dermatitis,Fluocinolone,On Label,RX,11 Reviews,4.14,4.29,4
Atopic Dermatitis,Prednisolone,On Label,RX,10 Reviews,3.33,3,3
Atopic Dermatitis,Fluocinolone,On Label,RX,10 Reviews,3.75,4.25,3.75
Atopic Dermatitis,Fluocinolone,On Label,RX,10 Reviews,3.75,4.25,3.75
Atopic Dermatitis,Fluocinolone,On Label,RX,10 Reviews,3.75,4.25,3.75
Atopic Dermatitis,Cetirizine,Off Label,OTC,10 Reviews,4,4.5,3.75
Atopic Dermatitis,"Betamethasone, Augmented, Betamethasone Dipropionate",On Label,RX,9 Reviews,3.75,4.25,3.5
Atopic Dermatitis,"Betamethasone, Augmented, Betamethasone Dipropionate",On Label,RX,9 Reviews,3.75,4.25,3.5
Atopic Dermatitis,Prednicarbate,On Label,RX,9 Reviews,5,5,5
Atopic Dermatitis,Prednicarbate,On Label,RX,9 Reviews,5,5,5
Atopic Dermatitis,Hydrocortisone Valerate,On Label,RX,9 Reviews,3,3,3
Atopic Dermatitis,Cetirizine,Off Label,OTC,9 Reviews,3,4.33,1.67
Atopic Dermatitis,Fluticasone Propionate,On Label,RX,9 Reviews,5,5,5
Atopic Dermatitis,Flurandrenolide,On Label,RX,8 Reviews,3,5,2.33
Atopic Dermatitis,Flurandrenolide,On Label,RX,8 Reviews,3,5,2.33
Atopic Dermatitis,"Hydrocortisone-Pramoxine, Hydrocortisone",On Label,RX,8 Reviews,3.75,4.75,3.75
Atopic Dermatitis,"Hydrocortisone-Pramoxine, Hydrocortisone",On Label,RX,8 Reviews,3.75,4.75,3.75
Atopic Dermatitis,"Hydrocortisone-Pramoxine, Hydrocortisone",On Label,RX,8 Reviews,3.75,4.75,3.75
Atopic Dermatitis,Fluocinolone,On Label,RX,8 Reviews,3,3.5,3
Atopic Dermatitis,"Betamethasone, Augmented",On Label,RX,8 Reviews,3.67,4.67,3.67
Atopic Dermatitis,Diflorasone,On Label,RX,7 Reviews,5,5,5
Atopic Dermatitis,Prednisolone Sodium Phosphate,On Label,RX,7 Reviews,4.33,5,4.33
Atopic Dermatitis,Clobetasol,On Label,RX,7 Reviews,3.25,5,3.25
Atopic Dermatitis,Desonide,On Label,RX,7 Reviews,4.67,4.67,4.67
Atopic Dermatitis,Hydrocortisone Butyrate,On Label,RX,7 Reviews,2,2.67,2
Atopic Dermatitis,Fluticasone Propionate,On Label,RX,7 Reviews,5,5,5
Atopic Dermatitis,Prednisone,On Label,RX,7 Reviews,1,3,1
Atopic Dermatitis,Dexamethasone,On Label,RX,7 Reviews,5,5,5
Atopic Dermatitis,Triamcinolone Acetonide,On Label,RX,7 Reviews,5,5,5
Atopic Dermatitis,Clobetasol-Emollient,On Label,RX,6 Reviews,3,3.67,2.67
Atopic Dermatitis,Clobetasol-Emollient,On Label,RX,6 Reviews,3,3.67,2.67
Atopic Dermatitis,Hydrocortisone,On Label,OTC,6 Reviews,1.8,3.2,3
Atopic Dermatitis,Fluocinonide-Emollient,On Label,RX,6 Reviews,3,3.5,3
Atopic Dermatitis,Betamethasone Valerate,On Label,RX,6 Reviews,3.5,4.5,3.5
Atopic Dermatitis,Hydrocortisone,On Label,OTC,6 Reviews,1,5,1
Atopic Dermatitis,Doxepin,On Label,RX,6 Reviews,3.67,3.67,3.33
Atopic Dermatitis,Flurandrenolide,On Label,RX,6 Reviews,3,3,3
Atopic Dermatitis,Betamethasone Dipropionate,On Label,RX,6 Reviews,5,5,5
Atopic Dermatitis,Diflorasone-Emollient,On Label,RX,5 Reviews,4,4.5,4.5
Atopic Dermatitis,Desoximetasone,On Label,RX,5 Reviews,3,3,3
Atopic Dermatitis,Doxepin,On Label,RX,5 Reviews,5,4.5,4.5
Atopic Dermatitis,Triamcinolone Acetonide,On Label,RX,5 Reviews,4,3.5,4
Atopic Dermatitis,Cetirizine,Off Label,OTC,5 Reviews,4,5,5
Atopic Dermatitis,"Hydrocortisone, Pramoxine-Benzyl Alcohol",On Label,OTC,5 Reviews,5,5,5
Atopic Dermatitis,"Desonide-Emollient Combo No 28, Desonide",On Label,RX,4 Reviews,1.5,3,1
Atopic Dermatitis,"Desonide-Emollient Combo No 28, Desonide",On Label,RX,4 Reviews,1.5,3,1
Atopic Dermatitis,Triamcinolone Acetonide,On Label,RX,4 Reviews,4,4,2
Atopic Dermatitis,Hydrocortisone Acetate,On Label,OTC,4 Reviews,5,5,5
Atopic Dermatitis,Fluocinolone,On Label,RX,4 Reviews,4,3.5,3.5
Atopic Dermatitis,Dexamethasone,On Label,RX,4 Reviews,5,5,5
Atopic Dermatitis,Dexamethasone,On Label,RX,4 Reviews,3,3,3
Atopic Dermatitis,Alclometasone,On Label,RX,4 Reviews,4.5,5,4.5
Atopic Dermatitis,Alclometasone,On Label,RX,4 Reviews,1,5,1
Atopic Dermatitis,Prednisolone Sodium Phosphate,On Label,RX,3 Reviews,4,3.67,3.67
Atopic Dermatitis,Dexamethasone Sodium Phosphate,On Label,RX,3 Reviews,3.5,4.5,3
Atopic Dermatitis,Flurandrenolide,On Label,RX,3 Reviews,3,5,4
Atopic Dermatitis,Amcinonide,On Label,RX,3 Reviews,5,5,5
Atopic Dermatitis,Hydrocortisone Butyrate,On Label,RX,3 Reviews,5,5,5
Atopic Dermatitis,Fluocinonide,On Label,RX,3 Reviews,5,5,5
Atopic Dermatitis,"Vit E-Glycerin-Dimethicone, Glycerin-Dimethicone-Petro, Wh",On Label,"
",3 Reviews,2,3,2.5
Atopic Dermatitis,Tacrolimus,On Label,RX,3 Reviews,5,4,5
Atopic Dermatitis,Betamethasone Valerate,On Label,RX,3 Reviews,5,5,5
Atopic Dermatitis,Hydrocortisone,On Label,OTC,3 Reviews,5,5,5
Atopic Dermatitis,"Prednisolone, Prednisolone Sodium Phosphate",On Label,RX,3 Reviews,1,3,2
Atopic Dermatitis,"Prednisolone, Prednisolone Sodium Phosphate",On Label,RX,3 Reviews,1,3,2
Atopic Dermatitis,Hydrocortisone Valerate,On Label,RX,3 Reviews,1,1,1
Atopic Dermatitis,Desonide,On Label,RX,3 Reviews,5,5,5
Atopic Dermatitis,Hydrocortisone Sod Succinate,On Label,RX,2 Reviews,5,5,5
Atopic Dermatitis,Diflorasone,On Label,RX,2 Reviews,5,5,5
Atopic Dermatitis,Amcinonide,On Label,RX,2 Reviews,5,5,5
Atopic Dermatitis,Diflorasone-Emollient,On Label,RX,2 Reviews,5,5,5
Atopic Dermatitis,Triamcinolone Acetonide,On Label,RX,2 Reviews,4,1,4
Atopic Dermatitis,Hydrocortisone,On Label,OTC,2 Reviews,1,5,1
Atopic Dermatitis,Hydrocortisone Probutate,On Label,RX,2 Reviews,1,1,1
Atopic Dermatitis,Hydrocortisone,On Label,OTC,2 Reviews,5,5,5
Atopic Dermatitis,Triamcinolone Acetonide,On Label,RX,2 Reviews,3.5,3.5,3.5
Atopic Dermatitis,Triamcinolone-Emollient Comb86,On Label,RX,2 Reviews,1,1,1
Atopic Dermatitis,Hydrocortisone Acetate,On Label,OTC,2 Reviews,5,5,5
Atopic Dermatitis,Fluocinonide-Emollient,On Label,RX,2 Reviews,4,4,5
Atopic Dermatitis,Dexamethasone Sodium Phos (PF),On Label,RX,2 Reviews,5,4,5
Atopic Dermatitis,Hydrocortisone,On Label,OTC,2 Reviews,5,5,5
Atopic Dermatitis,Diflorasone-Emollient,On Label,RX,2 Reviews,5,5,5
Atopic Dermatitis,Methylprednisolone Acetate,On Label,RX,2 Reviews,1,1,1
Atopic Dermatitis,Cetirizine,Off Label,OTC,2 Reviews,5,5,5
Atopic Dermatitis,Flurandrenolide,On Label,RX,2 Reviews,5,5,5
Atopic Dermatitis,Triamcinolone Acetonide,On Label,RX,2 Reviews,5,5,5
Atopic Dermatitis,Dexamethasone,On Label,RX,2 Reviews,4,5,5
Atopic Dermatitis,Hydrocortisone,On Label,OTC,2 Reviews,5,5,5
Atopic Dermatitis,Methylprednisolone Acetate,On Label,RX,2 Reviews,3,2,1
Atopic Dermatitis,Hydrocortisone,On Label,OTC,2 Reviews,5,5,5
Atopic Dermatitis,Cetirizine,Off Label,OTC,2 Reviews,5,5,5
Atopic Dermatitis,Triamcinolone Acetonide,On Label,RX,2 Reviews,1,1,1
Atopic Dermatitis,Hydrocortisone,On Label,OTC,1 Reviews,5,5,5
Atopic Dermatitis,Methylprednisolone,On Label,RX,1 Reviews,2,4,3
Atopic Dermatitis,Triamcinolone Acetonide,On Label,RX,1 Reviews,1,1,1
Atopic Dermatitis,Hydrocortisone-Iodoquinol,"
",RX,1 Reviews,4,4,4
Atopic Dermatitis,Clobetasol-Emollient,On Label,RX,1 Reviews,5,5,5
Atopic Dermatitis,Hydrocortisone Sod Succinate,On Label,RX,1 Reviews,3,3,4
Atopic Dermatitis,Hydrocortisone,On Label,OTC,1 Reviews,1,5,1
Atopic Dermatitis,Dexamethasone,On Label,RX,1 Reviews,1,1,1
Atopic Dermatitis,Dexamethasone,On Label,RX,1 Reviews,4,5,4
Atopic Dermatitis,"Salicylic Acid, Hydrocortisone",On Label,OTC,1 Reviews,1,1,1
Atopic Dermatitis,"Salicylic Acid, Hydrocortisone",On Label,OTC,1 Reviews,1,1,1
Atopic Dermatitis,Fluocinolone And Shower Cap,On Label,RX,1 Reviews,5,3,5
Atopic Dermatitis,Methylprednisolone Acetate,On Label,RX,1 Reviews,4,2,4
Atopic Dermatitis,Hydrocortisone Sod Succ (PF),On Label,RX,1 Reviews,4,5,4
Atopic Dermatitis,"Betamethasone, Augmented",On Label,RX,1 Reviews,4,3,3
Atopic Dermatitis,"Betamethasone, Augmented",On Label,RX,1 Reviews,4,3,3
Atopic Dermatitis,Hydrocortisone,On Label,OTC,1 Reviews,2,2,2
Atopic Dermatitis,Triamcinolone Acetonide,On Label,RX,1 Reviews,4,4,3
Atopic Dermatitis,Hydrocortisone,On Label,OTC,1 Reviews,4,4,4
Atopic Dermatitis,Hydrocortisone,On Label,OTC,1 Reviews,5,5,5
Atopic Dermatitis,Hydrocortisone Acetate,On Label,OTC,1 Reviews,3,3,1
Atopic Dermatitis,Methylprednisolone Acetate,On Label,RX,1 Reviews,2,1,1
Atopic Dermatitis,Hydrocortisone Acetate,On Label,RX/OTC,1 Reviews,2,4,2
Atopic Dermatitis,Hydrocortisone Acetate,On Label,RX/OTC,1 Reviews,2,4,2
Atopic Dermatitis,Hydrocortisone Acetate,On Label,OTC,1 Reviews,4,5,4
Atopic Dermatitis,Methylprednisolone Acetate,On Label,RX,1 Reviews,4,2,2
Atopic Dermatitis,Desonide,On Label,RX,1 Reviews,5,5,5
Atopic Dermatitis,Betamethasone Valerate,On Label,RX,1 Reviews,5,5,5
Atopic Dermatitis,Dexamethasone Sodium Phosphate,On Label,RX,1 Reviews,5,5,4
Atopic Dermatitis,Methylprednisolone Acetate,On Label,RX,1 Reviews,5,5,5
Atopic Dermatitis,Prednisone,On Label,RX,1 Reviews,5,5,5
Atopic Dermatitis,Methylprednisolone Acetate,On Label,RX,1 Reviews,1,1,1
Atopic Dermatitis,Hydrocortisone,On Label,OTC,1 Reviews,3,4,2
Atopic Dermatitis,Flurandrenolide,On Label,RX,1 Reviews,5,5,5
Atopic Dermatitis,Hydrocortisone,On Label,RX,1 Reviews,4,4,3
Atopic Dermatitis,Hydrocortisone,On Label,RX/OTC,1 Reviews,1,1,1
Atopic Dermatitis,Methylprednisolone Acetate,On Label,RX,1 Reviews,5,5,4
Atopic Dermatitis,Prednisone,On Label,RX,1 Reviews,4,5,4
Atopic Dermatitis,Triamcinolone Acetonide,On Label,RX,1 Reviews,5,5,5
Atopic Dermatitis,Fluocinolone-Emol Cmb#65,On Label,RX,1 Reviews,1,4,1
Atopic Dermatitis,Fluocinolone-Emol Cmb#65,On Label,RX,1 Reviews,1,3,1
Atopic Dermatitis,Desonide-Emollient Combo No 28,On Label,RX,1 Reviews,4,4,4
Atopic Dermatitis,Flurandrenolide,On Label,RX,1 Reviews,3,2,3
Atopic Dermatitis,Flurandrenolide,On Label,RX,1 Reviews,3,2,3
Atopic Dermatitis,Hydrocortisone,On Label,OTC,1 Reviews,5,5,5
Atopic Dermatitis,Triamcinolone Acetonide,On Label,RX,1 Reviews,5,5,5
Atopic Dermatitis,Fluocinolone-Skin Clnsr28,On Label,RX,1 Reviews,5,5,5
Atopic Dermatitis,Prednisone,On Label,RX,1 Reviews,5,5,5
Atopic Dermatitis,Fluocinonide,On Label,RX,1 Reviews,5,5,5
Atopic Dermatitis,Vit E-Glycerin-Dimethicone,On Label,"
",1 Reviews,4,5,5
Atopic Dermatitis,Diflorasone,On Label,RX,1 Reviews,4,5,5
Atopic Dermatitis,Prednisolone,On Label,RX,1 Reviews,3,2,2
Atopic Dermatitis,Hydrocortisone-Oatmeal-Aloe-E,On Label,OTC,1 Reviews,1,3,1
back pain,Acetaminophen,On Label,OTC,135 Reviews,3.07,3.85,3.15
back pain,Capsaicin,On Label,OTC,127 Reviews,2.53,2.63,2.5
back pain,Capsaicin,On Label,OTC,92 Reviews,2.74,3.71,2.66
back pain,Acetaminophen,On Label,OTC,71 Reviews,3.31,4.06,3.13
back pain,Acetaminophen,On Label,OTC,71 Reviews,3.31,4.06,3.13
back pain,Acetaminophen,On Label,OTC,71 Reviews,3.31,4.06,3.13
back pain,Acetaminophen,On Label,OTC,71 Reviews,3.31,4.06,3.13
back pain,"Capsaicin-Menthol, Capsaicin",On Label,OTC,59 Reviews,2.47,3.47,2.16
back pain,Capsaicin,On Label,OTC,22 Reviews,3.13,3.38,3.13
back pain,Trolamine Salicylate,"
",OTC,22 Reviews,2.89,4,2.89
back pain,Trolamine Salicylate,"
",OTC,20 Reviews,4,4.8,4
back pain,Capsaicin-Methyl Sal-Menthol,On Label,OTC,16 Reviews,4.92,4.92,4.83
back pain,Acetaminophen,On Label,OTC,16 Reviews,3.73,4.36,3.55
back pain,Acetaminophen,On Label,OTC,15 Reviews,4.5,4,4.25
back pain,Acetaminophen,On Label,OTC,15 Reviews,3,4.25,2.5
back pain,Acetaminophen,On Label,OTC,13 Reviews,2.2,4,2.8
